,1,2,3,4,5,6,7,8,9,10
CD4 T cells,-3.2821967529765823,-1.9821688546666745,-1.6058512224010841,-0.2773801253855429,-0.6761592164967748,-0.7594575364533676,0.7230906659951907,0.8439979257788108,-1.2311217469820332,-0.022830406220764148
B cells,0.8175844458418494,-5.915297383028481,4.69107772045139,3.564151939704368,-1.8068716409351882,-2.3389051865444186,1.3908661009450465,-0.6309084247870356,1.2980073446906932,-0.6259853047240744
CD4 T cells,-2.2144275806185325,-2.387120832792613,-2.727792327013314,-0.632684767841489,0.16411641279969888,1.823516761390722,0.48992332992319854,2.1174434954858152,0.22509297824539015,0.5494612684458595
CD14+ Monocytes,9.322736925457594,-0.1866422032186144,0.8920311181660153,0.23101830158042147,0.22684154800636144,-0.1483737986417396,0.08458560701367523,0.634863229934744,-0.4636752510424752,0.40737008132306946
NK cells,-2.41631896755813,8.423460985988365,-0.10552097710225229,2.6255963129356448,0.5494402658037258,0.724369266499366,-0.30058262232265553,0.038322386377535905,1.1713497135025823,0.9766910682564937
CD4 T cells,-2.4138020509115394,0.08730986098911103,-0.40814241841335946,-0.5401245218248999,0.7543396147840196,-0.049636468380275904,1.7057193090851372,-1.1607921107101418,0.9431805999251455,-0.42391228967829053
CD8 T cells,-3.684933936991254,0.020812837983272124,-1.1087279428997632,1.1327976758382359,-0.9075041720808971,-1.804807443777757,0.49260617046621735,-1.0885756460570073,-1.0426882087423153,-0.9825986314482293
CD8 T cells,-3.523493210825383,-0.8402302650868737,-2.487825015894264,0.4269685120587339,-0.6116455550202134,-1.1907747877208035,1.40285272602899,-0.1168594093138617,-0.5851159605799272,-0.5744639647998324
CD8 T cells,-3.34293478803833,2.4442187841034975,2.063237106415574,1.1076656627016064,0.36271769323960973,-0.2488100536843716,1.3285682639794634,-0.10835021587986636,-0.8519370799185181,-0.10464107998667274
FCGR3A+ Monocytes,2.4889226383163576,4.59580412041568,0.2484837487750289,-1.856866982576619,4.219858127484695,-2.4114565978614393,-0.36657342270267546,1.4742247089848193,-0.9572468759027286,0.4170918931304196
B cells,-0.2638389803618477,-4.0462676717291375,4.769590374894027,2.887669302273436,-0.9608848509723491,1.7875376120589765,0.6908350204768785,-0.42685546461190543,1.3357297175078167,-0.5786144093411534
CD4 T cells,-4.182858535705128,-2.3313210561408515,-0.6284319869899271,-1.614616228519169,0.12090926236251703,1.7048311233731948,-1.5560240510777417,-0.39072618588321845,-0.31592008209337885,-0.19447350138442557
CD4 T cells,-2.3027708538964857,-1.4988044426465594,-1.8703549247776161,-1.124183409929998,0.514372562599922,1.4929738479871522,0.18320749673181516,0.5123526004867163,0.33531414261924475,0.4505596943304663
